규칙,롤링1년 초과 중앙값(%p),이긴 비율(%),최악 1년(%p),최고 1년(%p),전향OOS 종료시점(%p),그 값의 백분위(%)
정적 가중 x 월말,-2.34,37.6,-123.43,38.61,-1.7,53.4
정적 가중 x 주말,-2.97,38.3,-105.53,42.88,-9.82,26.8
