구분,CAGR(%),변동성(%),샤프,MDD(%),칼마,연수
2014-24 · 국채 KR10 (원본),3.85,10.75,0.358,-20.95,0.184,9.8
2014-24 · 국채 US10 (장기설정과 동일),4.05,10.64,0.381,-18.81,0.216,9.8
